Project,Repo,Project license,Repo License,Sourcerank
NPM/jethro,https://github.com/JethroLogger/Jethro,MIT,LGPL-3.0,11
NPM/twreporter-react,https://github.com/twreporter/twreporter-react,MIT,AGPL-3.0,11
NPM/climate-si7005,https://github.com/tessel/climate-si7005,"MIT,Apache-2.0",Apache-2.0,11
NPM/ava-ia,https://github.com/ava-ia/core,MIT,GPL-3.0,11
NPM/asciichart,https://github.com/kroitor/asciichart,MIT,Unlicense,11
NPM/jscs-angular,https://github.com/tregusti/jscs-angular,MIT,ISC,11
NPM/learn-generators,https://github.com/isRuslan/learn-generators,MIT,BSD-3-Clause,11
NPM/teasim-styles,https://github.com/teasim/styles,MIT,BSD-3-Clause,11
NPM/teasim-presets,https://github.com/teasim/presets,MIT,BSD-3-Clause,11
NPM/ts-xlsx,https://github.com/DxCx/ts-xlsx,MIT,AGPL-3.0,11
NPM/sync-queue,https://github.com/tessel/sync-queue,MIT,BSD-3-Clause,11
NPM/ocbesbn-config,https://github.com/OpusCapita/config,MIT,Apache-2.0,11
NPM/@shinnn/eslintrc,https://github.com/shinnn/eslint-config,MIT,ISC,11
NPM/servo-pca9685,https://github.com/tessel/servo-pca9685,MIT,Apache-2.0,11
NPM/azure-insights,https://github.com/Azure/azure-sdk-for-node,MIT,Apache-2.0,11
NPM/blockchain,https://github.com/abrkn/blockchain,MIT,ISC,11
NPM/haiku9,https://github.com/pandastrike/haiku9,MIT,ISC,11
NPM/vigour-statusbar,https://github.com/vigour-io/statusbar,MIT,BSD-2-Clause,11
NPM/nine-track,https://github.com/twolfson/nine-track-original-fork,MIT,Unlicense,11
NPM/teasim-animations,https://github.com/teasim/teasim,MIT,BSD-3-Clause,11
NPM/cnptechnology-docxtemplater,https://github.com/open-xml-templating/docxtemplater,MIT,GPL-3.0,11
NPM/timeago-words,https://github.com/sagivo/timeago-words,MIT,Apache-2.0,11
NPM/nodebb-plugin-sso-twitter,https://github.com/julianlam/nodebb-plugin-sso-twitter,MIT,BSD-2-Clause,11
NPM/ng-jsoneditor,https://github.com/angular-tools/ng-jsoneditor,MIT,Artistic-2.0,11
NPM/ua-device,https://github.com/fex-team/ua-device,MIT,BSD-3-Clause,11
NPM/bezier-easing-editor,https://github.com/gre/bezier-easing-editor,MIT,GPL-3.0,11
NPM/generator-starhackit,https://github.com/FredericHeem/starhackit,MIT,Unlicense,11
NPM/ember-cli-pure,https://github.com/johnotander/ember-cli-pure,MIT,BSD-3-Clause,11
NPM/list-to-tree,https://github.com/DenQ/list-to-tree,MIT,BSD-3-Clause,11
NPM/jsonapi-mapper,https://github.com/scoutforpets/jsonapi-mapper,MIT,Unlicense,11
NPM/neoui,https://github.com/iuap-design/tinper-neoui,MIT,BSD-2-Clause,11
NPM/get-prefix,https://github.com/souporserious/get-prefix,MIT,ISC,11
NPM/gps-a2235h,https://github.com/tessel/gps-a2235h,MIT,Apache-2.0,11
NPM/ng-selectize,https://github.com/NicholasAzar/ng-selectize,MIT,Apache-2.0,11
NPM/mapzen.js,https://github.com/mapzen/mapzen.js,MIT,ISC,11
NPM/gitbook-plugin-theme-synapse,https://github.com/GitbookIO/theme-default,MIT,Apache-2.0,11
NPM/babelserver,https://github.com/RuedigerMoeller/kontraktor,MIT,LGPL-3.0,11
NPM/mbview,https://github.com/mapbox/mbview,MIT,ISC,11
NPM/colony-compiler,https://github.com/tessel/colony-compiler,MIT,Apache-2.0,11
NPM/t-json-viewer,https://github.com/temich666/t-json-viewer,MIT,Apache-2.0,11
NPM/kontraktor-common,https://github.com/RuedigerMoeller/kontraktor,MIT,LGPL-3.0,11
NPM/motion-style,https://github.com/steelbrain/motion,MIT,MPL-2.0,11
NPM/generator-angular-schema-form-add-on,https://github.com/yeoman/generator-angular,MIT,BSD-2-Clause,11
NPM/cordova-social-vk,https://github.com/DrMoriarty/cordova-social-vk,MIT,Apache-2.0,11
NPM/unstream,https://github.com/lxe/unstream,MIT,ISC,11
